lat,long,sample_name,TOAGE,FROMAGE,OnlyCooling,TempDiff,Region,Sub-Region,,,,,
54.19722222,89.51333333,TV-78,226,226.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,225,225.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,224,224.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,223,223.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,222,222.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,221,221.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,220,220.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,219,219.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,218,218.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,217,217.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,216,216.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,215,215.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,214,214.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,213,213.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,212,212.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,211,211.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,210,210.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,209,209.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,208,208.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,207,207.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,206,206.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,205,205.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,204,204.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,203,203.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,202,202.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,201,201.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,200,200.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,199,199.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,198,198.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,197,197.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,196,196.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,195,195.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,194,194.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,193,193.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,192,192.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,191,191.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,190,190.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,189,189.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,188,188.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,187,187.999,#N/A,#N/A,7,25,,,,,
54.19722222,89.51333333,TV-78,186,186.999,#N/A,#N/A,7,25,,,,,
